Month,Gallons
21-May,1361360
21-Jun,1421200
21-Jul,1285064
21-Aug,998580
21-Sep,1004564
21-Oct,1068144
21-Nov,1019524
21-Dec,1027752
22-Jan,997084
22-Feb,1265616
22-Mar,1433916
22-Apr,1808664
22-May,1780240
22-Jun,2047276
22-Jul,1662056
22-Aug,1566312
22-Sep,1848308
22-Oct,1740596
22-Nov,1865512
22-Dec,1777996
23-Jan,1710676
23-Feb,1790712
23-Mar,2179672
23-Apr,2091408
23-May,1257388
23-Jun,1220736
23-Jul,1063656
23-Aug,1135464
23-Sep,1167628
23-Oct,1187076
23-Nov,1341912
23-Dec,1341912
24-Jan,1342660
24-Feb,1311992
24-Mar,1448128
24-Apr,1351636
24-May,1439152
