Month,Gallons
21-May,402424
21-Jun,537064
21-Jul,578204
21-Aug,544544
21-Sep,506396
21-Oct,391952
21-Nov,252076
21-Dec,246092
22-Jan,167552
22-Feb,174284
22-Mar,185504
22-Apr,385220
22-May,426360
22-Jun,543048
22-Jul,550528
22-Aug,567732
22-Sep,580448
22-Oct,813076
22-Nov,477972
22-Dec,367268
23-Jan,436832
23-Feb,267036
23-Mar,311916
23-Apr,317900
23-May,472736
23-Jun,673200
23-Jul,727804
23-Aug,615604
23-Sep,531080
23-Oct,734536
23-Nov,437580
23-Dec,388212
24-Jan,252824
24-Feb,247588
24-Mar,252076
24-Apr,280500
24-May,427856
