Month,Gallons
21-May,418132
21-Jun,492932
21-Jul,950708
21-Aug,1129480
21-Sep,1174360
21-Oct,1040468
21-Nov,563992
21-Dec,695640
22-Jan,519860
22-Feb,109208
22-Mar,23936
22-Apr,111452
22-May,26180
22-Jun,101728
22-Jul,163064
22-Aug,80036
22-Sep,158576
22-Oct,181764
22-Nov,187748
22-Dec,50116
23-Jan,62832
23-Feb,90508
23-Mar,119680
23-Apr,256564
23-May,1041964
23-Jun,982124
23-Jul,1026256
23-Aug,1185580
23-Sep,1308252
23-Oct,1084600
23-Nov,927520
23-Dec,694892
24-Jan,412148
24-Feb,307428
24-Mar,451972
24-Apr,552024
,
